,raw,processed,label,Predict
3114,"@IntanAy03304222 PPKM
Pagi pagi kok menggairahkan",ppkm pagi pagi kok menggairahkan,1,0
4978,"@alisyarief PPKM itu dlm istilah medis bukan tindakan, tapi cuma ngasih obat generik yg sebenarnya bisa dibeli sendiri, tnp hrs ke dokter",ppkm itu dalam istilah medis bukan tindakan tapi cuma memberikan obat generik yang sebenarnya bisa dibeli sendiri tanpa harus ke dokter,0,0
1569,"pak @jokowi @kemenkomarves @kemenhub151  
apabila ada PPKM mohon dipertimbangkan lg terkait transportasi utk yg kerja luar kota.
kereta lokal ditutup,akhirnya penumpang pada lari ke bis yg mana di bis ekonomi umum prokes kurang menurut saya apalagi jika armada yg jalan tidak 100%",pak apabila ada ppkm mohon dipertimbangkan lagi terkait transportasi untuk yang kerja luar kota kereta lokal ditutup akhirnya penumpang pada lari ke bis yang mana di bis ekonomi umum prokes kurang menurut saya apalagi jika armada yang jalan tidak,0,1
764,Kita msh brsyukur di Tangsel msh bebas n ppkm nggak ketat kyk di Jkt n Bdg.....,kita masih bersyukur di tangsel masih bebas ppkm tidak ketat kayak di jakarta bandung,2,2
7296,"baru banget dapet kabar, ibu temen meninggal dunia. nyesel banget, waktu beliau masih sakit belum sempet jenguk. mana skrg masih PPKM gabisa pulang rumah. turut berduka cita yg mendalam, hanya doa yg bsa dikirimkan, semoga khusnul khatimah, tenang disisi Allah. Amiiin",baru banget dapat kabar ibu teman meninggal dunia menyesal banget waktu beliau masih sakit belum sempat jenguk mana sekarang masih ppkm tidak bisa pulang rumah turut berduka cita yang mendalam hanya doa yang bisa dikirimkan semoga khusnul khatimah tenang disisi allah amin,0,0
8973,Ppkm diperpanjang sampai semua org khatam madilog,ppkm diperpanjang sampai semua orang khatam madilog,1,1
1791,@detikcom Korban imbas dari PPKM Darurat nih...  iman nya terlalu tipis..🙃,korban imbas dari ppkm darurat ini iman nya terlalu tipis,0,0
9038,@oxleyflora ppkm ya?,ppkm iya,1,1
7590,@kumparan @PutraWadapi Yang masih ijinkan masuk cina dimasa PPKM semua setan..,yang masih ijinkan masuk cina dimasa ppkm semua setan,0,0
4850,@detikcom Tahun segitu Indonesia masih PPKM kayaknya...,tahun segitu indonesia masih ppkm sepertinya,1,1
