0,label,predict,0,1,2
ppkm sih rafathar birthday party kocak                                  ,0,1,0.3484,0.4367,0.2149
ppkm kali pengusaha berlega simak threadnya                                  ,2,1,0.1548,0.678,0.1672
berita nya sih untuk protokol ppkm                                  ,1,0,0.4726,0.351,0.1763
ppkm darurat kepentingan rakyat                                    ,0,2,0.2767,0.3816,0.3417
ppkm umur tahun main tetap disuruh pulang magrib                                ,1,0,0.5596,0.2522,0.1882
ppkm selesai corona selesai tahun belajar onlen mengerti bodoh                               ,0,1,0.2611,0.5825,0.1565
ya bapak pamitan bapak ppkm menemukan orang  wkwkwk                               ,1,2,0.2148,0.3183,0.4669
kebiasaan diam rumah brother keluar iya kerja doang keluar main kayak malas bawaanya hahah kayaknya terbiasa ppkm deh                      ,1,0,0.8113,0.1187,0.07
ppkm dirumah bosan bosan mari join mangga  yuk   pastinya  link                          ,1,0,0.5971,0.2064,0.1965
misal ppkm cari uang sulit harga poli jiwa tolong kurangi harganya                             ,0,2,0.2324,0.2415,0.5261
 iya ppkm  kayak level pedas                                 ,0,1,0.3188,0.5404,0.1408
survey an ppkm apalah namanya                                   ,1,0,0.8248,0.1382,0.037
deh ppkm udah kelar nongkrong  plaza ketemu                                ,1,0,0.6201,0.2815,0.0984
apapun komentar video setidak nya memberi contoh aparat penegak ppkm negeri sehat bapak nya                          ,2,0,0.9773,0.0159,0.0068
jalan jalan  jadi deng ppkm                                  ,0,1,0.2165,0.6568,0.1267
ppkm beli motor dicicil                                    ,1,0,0.5151,0.3548,0.1301
menunggu apdetan drakor id terlambat libur mingguan kayak ppkm                               ,1,0,0.4106,0.4018,0.1876
pengakuan dosa gereja ppkm                                    ,1,0,0.8937,0.0778,0.0285
pak surabaya menjadi presiden kira dilakukan  pendemic tahun berbeda  pemerintah lockdown negara psbb ppkm negara dibiarkan bebas covid                    ,1,0,0.4374,0.2742,0.2884
ppkm pak  fokus melakukan  covid karantina wilayah  covid vaksinasi tracing   pelayanan  obat ketersediaan rumah sakit   hidup sehat prokes              ,1,2,0.0195,0.0254,0.9551
lucu ppkm moga minggu perpanjang pengumuman selesai menang gosah subsisi rakyat                             ,0,1,0.0155,0.9739,0.0106
pas ppkm bosan sih                                    ,0,1,0.2935,0.5858,0.1207
ndk tergantung  zona ppkm level merah oflen                                ,1,2,0.19,0.3982,0.4118
plis plis banget  coba ppkm diperpanjang                                 ,1,2,0.2309,0.2072,0.5619
maaf merayakan secara merdeka jiwa raga terbelenggu prokes ppkm                               ,0,2,0.2724,0.1646,0.563
ppkm diperpanjang banting rasanya                                    ,0,1,0.3761,0.4582,0.1657
untuk hari penerapan ppkm darurat dilaksanakan jawa timur                                ,1,2,0.0697,0.1793,0.751
gara ppkm                                      ,0,1,0.2934,0.5211,0.1855
selamat pagi dunia ppkm penuh berkah peluang tantangan tipu tipu                              ,0,2,0.0333,0.0484,0.9183
berjanji ppkm diperpanjang bakal  rumah bakal tetap respect menepati                              ,1,0,0.5661,0.3253,0.1086
kalimat pak nikah  masuk sih paham konteks dibahas soal ppkm wkwkwk                            ,1,0,0.4966,0.3488,0.1546
alhamdulillah mengajak nongkrong punya alasan nolak ppkm                                 ,1,0,0.627,0.1715,0.2015
karokean ya allah ppkm berakhir                                   ,0,1,0.3612,0.4777,0.1611
ppkm diundur  hidup                                    ,1,0,0.4658,0.4376,0.0966
lumayan  hasilnya terdampak ppkm                                   ,1,2,0.091,0.1184,0.7906
ppkm diperpanjang bandung pantai                                    ,1,0,0.5643,0.3122,0.1234
menjadi seseorang alamualaikum semangad pagi doain ya rencana banten belajar debus makan paku kawat jaga ppkm selamat aktifitas ya                     ,0,2,0.1508,0.3075,0.5416
lomba agustusan ppkm                                     ,1,2,0.2115,0.2451,0.5434
